proposal_id,customer_id,location_id,responsible_id,project_id,status,type,visibility,name,completed_at,deleted_at,updated_at,created_at,user_id,city_id,address_id,latitude,longitude,lost_at,total,required_investment,description_project,category,benefit_type,description_benefit,area,estimated_value,restrictions,identification,main_activity,zip,street,number,company_name,federal_tax_id
260,4,,6,208.0,open,company,restrict,Oportunidade DIP FRANGOS S/A,2024-03-26 17:40:01,,2025-08-04 14:00:04,2021-02-27 19:56:05,6,3977.0,,-24.556822,-54.087244,,5100000.0,0.0,Expansão DIP FRANGOS S/A - Sem maiores detalhes no momento. ,implantation,,,,,,,,85760000.0,RODOVIA BR-167,KM 85,DIP FRANGOS S/A,21819182000105.0
261,4,,6,209.0,completed,company,restrict,Oportunidade MENDES E DOI LTDA,2023-05-08 15:51:25,,2025-08-04 14:00:04,2021-02-27 20:03:01,6,,,-20.468305,-54.717477,,65000000.0,0.0,Projeto de implantação de indústrias de bebidas sem município pré determinado. ,implantation,,,,,,,,79108670.0,ENGENHEIRO ANNES SALIM SAAD,59,MENDES E DOI LTDA,9544291000153.0
262,4,,6,210.0,completed,company,restrict,Oportunidade WAY BEER INDUSTRIA E COMERCIO DE BEBIDAS LTDA,2023-05-08 15:51:29,,2025-08-04 14:00:04,2021-02-27 20:07:25,6,4177.0,,-25.4429,-49.1927,,4000000.0,0.0,Projeto de Expansão de unidade produtora de bebidas ,expansion,,,,,,,,,,,WAY BEER INDUSTRIA E COMERCIO DE BEBIDAS LTDA,12226693000114.0
263,4,,6,211.0,completed,company,restrict,Oportunidade KLABIN S.A.,2024-10-09 20:06:58,,2025-08-04 14:00:04,2021-02-27 20:10:57,6,4155.0,,-24.209546,-50.925395,,1700000000.0,0.0,Implanntação de unidade produtora de papel e celulose,implantation,,,,,,,,,,,KLABIN S.A.,89637490016572.0
264,4,,6,212.0,completed,company,restrict,Oportunidade KAPAZI INDUSTRIA E COMERCIO DE CAPACHOS LTDA,2023-05-08 15:51:35,,2025-08-04 14:00:04,2021-02-27 20:13:36,6,3916.0,,-25.3135,-49.2996,,12600000.0,0.0,Intensificação de produção na unidade atual com investimentos e contratação de mão de obra,expansion,,,,,,,,,,,KAPAZI INDUSTRIA E COMERCIO DE CAPACHOS LTDA,80051824000120.0
265,4,,6,213.0,completed,company,restrict,Oportunidade MASTERFOODS BRASIL ALIMENTOS LTDA,2023-05-08 15:51:39,2024-06-04 20:19:05,2024-06-04 20:19:05,2021-02-27 20:16:53,6,4187.0,,-25.0892,-50.1602,,99999999.99,0.0,Projeto de implantação de unidade produtora de alimentos,implantation,,,,,,,,,,,MASTERFOODS BRASIL ALIMENTOS LTDA,29737368000208.0
266,4,,6,214.0,completed,company,restrict,Oportunidade CIA IGUAÇU DE CAFÉ SOLÚVEL,2023-05-08 15:51:45,2024-06-04 20:19:10,2024-06-04 20:19:10,2021-02-27 20:18:47,6,3997.0,,-23.1825,-50.6499,,99999999.99,0.0,Implantação de unidade produtora de café solúvel,implantation,,,,,,,,,,,CIA IGUAÇU DE CAFÉ SOLÚVEL,76255926000190.0
267,4,,6,215.0,completed,company,restrict,Oportunidade DALPARE RECICLAGENS METÁLICAS LTDA,2023-05-08 15:51:59,,2025-08-04 14:00:04,2021-02-27 20:20:42,6,3981.0,,-24.9617,-53.4361,,0.0,0.0,"Oportunidade de implantação da indústrias em Cascavel, sem valor de investimento definido. ",implantation,,,,,,,,,,,DALPARE RECICLAGENS METÁLICAS LTDA,3816922000160.0
268,4,,6,216.0,completed,company,restrict,Oportunidade POTENCIAL BIODIESEL,2023-05-08 15:52:04,2024-06-04 20:19:15,2024-06-04 20:19:15,2021-02-27 20:22:15,6,4095.0,,-25.7671,-49.7168,,99999999.99,0.0,Projeto de ampliação de unidade produtora,expansion,,,,,,,,,,,POTENCIAL BIODIESEL,12613484000123.0
269,4,,6,217.0,completed,company,restrict,Oportunidade GOL LINHAS AÉREAS,2023-05-08 15:52:08,,2025-08-04 14:00:04,2021-02-27 20:24:18,6,4006.0,,-25.4296,-49.2712,,0.0,0.0,Implantação de Hub no aeroporto Afonso Pena - Sem valor prévio de investimento definido. ,implantation,,,,,,,,,,,GOL LINHAS AÉREAS,7575651011002.0
270,4,,6,218.0,completed,company,restrict,MAQUIRA INDUSTRIA DE PRODUTOS ODONTOLOGICOS S.A.,2023-05-08 15:52:13,,2025-08-04 14:00:04,2021-02-27 20:54:38,6,4121.0,,-23.4251,-51.9383,,12500000.0,0.0,Instalação de unidade produtiva,implantation,,,,,,,,,,,MAQUIRA INDUSTRIA DE PRODUTOS ODONTOLOGICOS S.A.,5823205000190.0
271,4,,6,219.0,completed,company,restrict,Oportunidade FERRAGENS NEGRÃO COMERCIAL LTDA.,2023-05-08 15:52:18,,2025-08-04 14:00:04,2021-02-27 20:57:39,6,4006.0,,-25.4296,-49.2712,,63090000.0,0.0,Ampliação de unidade produtiva,expansion,,,,,,,,,,,FERRAGENS NEGRÃO COMERCIAL LTDA.,76639285000177.0
272,4,,6,220.0,completed,company,restrict,Oportundidade AVENORTE AVÍCOLA CIANORTE LTDA,2023-05-08 15:52:22,2024-06-04 20:19:22,2024-06-04 20:19:22,2021-02-27 21:00:51,6,3988.0,,-23.6599,-52.6054,,99999999.99,0.0,Ampliação de capacidade produtiva,expansion,,,,,,,,,,,AVENORTE AVÍCOLA CIANORTE LTDA,1682147000171.0
273,4,,6,221.0,completed,company,restrict,Oportunidade TAM LINHAS AÉREAS S/A,2023-05-08 15:52:28,,2025-08-04 14:00:04,2021-02-27 21:03:45,6,4006.0,,-25.4296,-49.2712,,0.0,0.0,Intensificação de operação no Paraná - Sem valor de investimento declarado. ,implantation,,,,,,,,,,,TAM LINHAS AÉREAS S/A,2012862000160.0
274,4,,6,222.0,completed,company,restrict,Oportunidade FRANGOS PIONEIRO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,2023-05-08 15:52:33,,2025-08-04 14:00:04,2021-02-27 21:06:48,6,4090.0,,-23.5,-49.9233,,23000000.0,0.0,,implantation,,,,,,,,,,,FRANGOS PIONEIRO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,974731000642.0
275,4,,6,223.0,completed,company,restrict,Oportunidade JAGUAFRANGOS IND. E COM. DE ALIMENTOS LTDA,2023-05-08 15:52:37,2024-06-04 20:19:18,2024-06-04 20:19:18,2021-02-27 21:08:27,6,4075.0,,-24.2434,-51.6719,,99999999.99,0.0,Oportunidade na cidade de Ivaiporã,implantation,,,,,,,,,,,JAGUAFRANGOS IND. E COM. DE ALIMENTOS LTDA,85090033000122.0
276,4,,6,224.0,completed,company,restrict,Oportunidade JAGUAFRANGOS IND. E COM. DE ALIMENTOS LTDA,2023-05-08 15:52:42,,2025-08-04 14:00:04,2021-02-27 21:09:42,6,4152.0,,-25.6326,-53.3463,,17000000.0,0.0,Oportunidade na cidade de Nova Prata do Iguaçu,implantation,,,,,,,,,,,JAGUAFRANGOS IND. E COM. DE ALIMENTOS LTDA,85090033000122.0
277,4,,6,225.0,completed,company,restrict,Oportunidade JAGUAFRANGOS IND. E COM. DE ALIMENTOS LTDA,2023-05-08 15:52:46,,2025-08-04 14:00:04,2021-02-27 21:11:30,6,4225.0,,-23.4172,-52.7722,,27600000.0,0.0,Oportunidade em Rondon,implantation,,,,,,,,,,,JAGUAFRANGOS IND. E COM. DE ALIMENTOS LTDA,85090033000122.0
278,4,,6,226.0,completed,company,restrict,Oportunidade ILUMISOL INDÚSTRIA IMPORTAÇÃO E EXPORTAÇÃO EIRELI,2023-05-08 15:52:51,,2025-08-04 14:00:04,2021-02-27 21:14:30,6,3981.0,,-24.9617,-53.4361,,10208421.0,0.0,Oportunidade em Cascavel,implantation,,,,,,,,,,,ILUMISOL INDÚSTRIA IMPORTAÇÃO E EXPORTAÇÃO EIRELI,5592812000197.0
